Client_ID,Service_Type,Monthly_Revenue,Contract_Length,Support_Tickets,Satisfaction_Score,Payment_Delay,Cloud_Usage,Security_Incidents,Churn
1001,Security,,12,18,2.4,12,50,0,1
1002,Support,45935.0,12,26,1.8,20,42,4,0
1003,Infrastructure,10190.0,24,25,4.7,58,93,2,0
1004,Security,,24,12,1.7,25,64,1,0
1005,Security,45495.0,36,6,4.5,50,91,3,0
1006,Support,39565.0,24,7,2.6,30,33,3,0
1007,Infrastructure,39899.0,12,13,2.1,15,86,2,1
1008,Infrastructure,28706.0,12,18,1.8,30,49,4,0
1009,Security,,12,18,3.0,12,37,4,0
1010,Cloud,22199.0,36,22,3.7,29,76,7,0
1011,Security,,24,25,4.6,31,84,9,0
1012,Security,44434.0,12,11,3.6,4,48,6,1
1013,Security,17479.0,36,22,2.9,11,30,8,0
1014,Security,39178.0,36,26,1.1,38,46,6,0
1015,Support,,12,8,4.7,58,11,1,1
1016,Infrastructure,5534.0,36,13,4.6,40,15,2,0
1017,Support,31292.0,36,5,2.5,36,61,5,1
1018,Support,41132.0,12,14,1.1,3,14,0,0
1019,Support,41110.0,36,12,3.9,41,56,7,1
1020,Security,,12,6,4.2,47,52,6,0
1021,Cloud,42268.0,12,10,3.2,42,49,5,0
1022,Infrastructure,6172.0,36,9,2.6,28,20,4,0
1023,Cloud,32914.0,12,0,4.4,40,90,9,0
1024,Support,,12,6,1.8,55,23,4,0
1025,Support,45775.0,24,17,2.8,4,11,7,0
1026,Cloud,39409.0,12,22,1.1,56,48,7,0
1027,Cloud,24324.0,24,2,1.7,10,72,2,1
1028,Cloud,13738.0,24,8,4.8,29,72,8,0
1029,Support,42494.0,24,28,3.3,8,27,2,0
1030,Support,,24,4,4.2,48,88,9,0
1031,Infrastructure,29054.0,36,22,2.9,27,99,7,0
1032,Infrastructure,,36,23,4.3,21,10,6,0
1033,Support,48785.0,12,12,3.2,10,26,8,0
1034,Cloud,,12,15,1.0,20,63,8,0
1035,Cloud,5363.0,12,15,4.6,5,48,0,0
1036,Infrastructure,,36,11,1.6,25,57,0,0
1037,Support,,24,17,2.8,15,75,2,0
1038,Infrastructure,8240.0,36,10,2.9,50,24,6,0
1039,Infrastructure,11665.0,36,16,1.2,13,31,2,1
1040,Security,,12,6,1.2,34,29,2,0
1041,Security,30538.0,12,14,4.1,41,98,3,0
1042,Security,48965.0,12,5,2.2,52,52,7,0
1043,Cloud,16998.0,24,5,2.6,54,65,0,1
1044,Support,5882.0,24,17,3.3,35,33,3,0
1045,Support,25224.0,36,18,2.5,21,52,3,0
1046,Support,44691.0,24,19,4.1,52,30,7,0
1047,Support,35825.0,12,18,4.5,1,57,6,0
1048,Security,,24,1,1.2,12,75,3,0
1049,Cloud,33885.0,24,2,3.5,10,25,7,0
1050,Cloud,45056.0,24,13,2.3,11,49,2,0
1051,Security,,24,21,3.3,32,30,9,0
1052,Cloud,7244.0,12,24,2.9,21,61,6,0
1053,Security,37786.0,12,3,2.3,52,17,8,0
1054,Support,8083.0,36,21,1.4,8,87,5,0
1055,Security,26584.0,36,16,3.2,43,64,3,0
1056,Support,13521.0,36,27,1.5,6,95,3,0
1057,Support,38541.0,24,5,1.6,16,91,0,0
1058,Infrastructure,34063.0,24,27,4.9,9,67,5,1
1059,Security,9732.0,12,18,2.3,37,14,2,0
1060,Infrastructure,32518.0,36,8,3.3,58,51,2,0
1061,Security,44563.0,12,3,2.1,38,39,0,0
